Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Brazil;7;3;2;2;6;4
Sweden;6;2;2;2;7;6
East Germany;6;2;2;2;5;5
Yugoslavia;6;1;2;3;12;7
Argentina;6;1;2;3;9;12
Scotland;3;1;2;0;3;1
Chile;3;0;2;1;1;2
Bulgaria;3;0;2;1;2;5
Netherlands;7;5;1;1;15;3
Italy;3;1;1;1;5;4
Uruguay;3;0;1;2;1;6
Australia;3;0;1;2;0;5
West Germany;7;6;0;1;13;4
Poland;7;6;0;1;16;5
Haiti;3;0;0;3;2;14
Zaire;3;0;0;3;0;14
