Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Brazil;5;4;0;1;15;6
Argentina;5;2;0;3;8;7
Algeria;3;2;0;1;5;5
Chile;3;0;0;3;3;8
New Zealand;3;0;0;3;2;12
El Salvador;3;0;0;3;1;13
Austria;5;2;1;2;5;4
Belgium;5;2;1;2;3;5
Hungary;3;1;1;1;12;6
Scotland;3;1;1;1;8;8
Yugoslavia;3;1;1;1;2;2
Kuwait;3;0;1;2;2;6
West Germany;7;3;2;2;12;10
France;7;3;2;2;16;12
England;5;3;2;0;6;1
Soviet Union;5;2;2;1;7;4
Spain;5;1;2;2;4;5
Honduras;3;0;2;1;2;3
Czechoslovakia;3;0;2;1;2;4
Peru;3;0;2;1;2;6
Italy;7;4;3;0;12;6
Poland;7;3;3;1;11;5
Northern Ireland;5;1;3;1;5;7
Cameroon;3;0;3;0;1;1
