Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Brazil;6;5;1;0;14;5
Czechoslovakia;6;3;1;2;7;7
Hungary;4;2;1;1;8;3
Soviet Union;4;2;1;1;9;7
West Germany;4;2;1;1;4;2
England;4;1;1;2;5;6
Italy;3;1;1;1;3;2
Argentina;3;1;1;1;2;3
Colombia;3;0;1;2;5;11
Bulgaria;3;0;1;2;1;7
Chile;6;4;0;2;10;8
Yugoslavia;6;3;0;3;10;7
Mexico;3;1;0;2;3;4
Spain;3;1;0;2;2;3
Uruguay;3;1;0;2;4;6
Switzerland;3;0;0;3;2;8
