Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Uruguay;4;3;1;0;15;5
Brazil;6;4;1;1;22;6
Sweden;5;2;1;2;11;15
Spain;6;3;1;2;10;12
Switzerland;3;1;1;1;4;6
Paraguay;2;0;1;1;2;4
Yugoslavia;3;2;0;1;7;3
Italy;2;1;0;1;4;3
England;3;1;0;2;2;2
Chile;3;1;0;2;5;6
United States;3;1;0;2;4;8
Mexico;3;0;0;3;2;10
Bolivia;1;0;0;1;0;8
