Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Slovenia;3;0;0;3;2;7
China PR;3;0;0;3;0;9
Saudi Arabia;3;0;0;3;0;12
Turkey;7;4;1;2;10;6
South Korea;7;3;2;2;8;6
United States;5;2;1;2;7;7
Italy;4;1;1;2;5;5
Paraguay;4;1;1;2;6;7
Portugal;3;1;0;2;6;4
Russia;3;1;0;2;4;4
Croatia;3;1;0;2;2;3
Ecuador;3;1;0;2;2;4
Poland;3;1;0;2;3;7
Nigeria;3;0;1;2;1;3
France;3;0;1;2;0;3
Tunisia;3;0;1;2;1;5
Germany;7;5;1;1;14;3
England;5;2;2;1;6;3
Senegal;5;2;2;1;7;6
Japan;4;2;1;1;5;3
Denmark;4;2;1;1;5;5
Mexico;4;2;1;1;4;4
Sweden;4;1;2;1;5;5
Belgium;4;1;2;1;6;7
South Africa;3;1;1;1;5;5
Argentina;3;1;1;1;2;2
Costa Rica;3;1;1;1;5;6
Cameroon;3;1;1;1;2;3
Uruguay;3;0;2;1;4;5
Brazil;7;7;0;0;18;4
Spain;5;3;2;0;10;5
Republic of Ireland;4;1;3;0;6;3
