Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Wales;5;1;3;1;4;4
England;4;0;3;1;4;5
West Germany;6;2;2;2;12;14
Yugoslavia;4;1;2;1;7;7
Brazil;6;5;1;0;16;4
Sweden;6;4;1;1;12;7
Soviet Union;5;2;1;2;5;6
Northern Ireland;5;2;1;2;6;10
Czechoslovakia;4;1;1;2;9;6
Hungary;4;1;1;2;7;5
Paraguay;3;1;1;1;9;12
Scotland;3;0;1;2;4;6
Austria;3;0;1;2;2;7
Mexico;3;0;1;2;1;8
France;6;4;0;2;23;15
Argentina;3;1;0;2;5;10
