Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Republic of Ireland;5;0;4;1;2;3
Argentina;7;2;3;2;5;4
England;7;3;3;1;8;6
Netherlands;4;0;3;1;3;4
West Germany;7;5;2;0;15;5
Romania;4;1;2;1;4;3
Egypt;3;0;2;1;1;2
Italy;7;6;1;0;10;2
Yugoslavia;5;3;1;1;8;6
Spain;4;2;1;1;6;4
Colombia;4;1;1;2;4;4
Uruguay;4;1;1;2;2;5
Czechoslovakia;5;3;0;2;10;5
Cameroon;5;3;0;2;7;9
Brazil;4;3;0;1;4;2
Belgium;4;2;0;2;6;4
Costa Rica;4;2;0;2;4;6
Soviet Union;3;1;0;2;4;4
Austria;3;1;0;2;2;3
Scotland;3;1;0;2;2;3
Sweden;3;0;0;3;3;6
South Korea;3;0;0;3;1;6
United States;3;0;0;3;2;8
United Arab Emirates;3;0;0;3;2;11
