Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Sweden;7;3;3;1;15;8
Brazil;7;5;2;0;11;3
Italy;7;4;2;1;8;5
Spain;5;2;2;1;10;6
Mexico;4;1;2;1;4;4
South Korea;3;0;2;1;4;5
Bulgaria;7;3;1;3;10;11
Germany;5;3;1;1;9;7
Romania;5;3;1;1;10;9
United States;4;1;1;2;3;4
Switzerland;4;1;1;2;5;7
Republic of Ireland;4;1;1;2;2;4
Norway;3;1;1;1;1;1
Bolivia;3;0;1;2;1;4
Cameroon;3;0;1;2;3;11
Netherlands;5;3;0;2;8;6
Nigeria;4;2;0;2;7;4
Argentina;4;2;0;2;8;6
Belgium;4;2;0;2;4;4
Saudi Arabia;4;2;0;2;5;6
Russia;3;1;0;2;7;6
Colombia;3;1;0;2;4;5
Morocco;3;0;0;3;2;5
Greece;3;0;0;3;0;10
