Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Portugal;6;5;0;1;17;8
Soviet Union;6;4;0;2;10;6
Hungary;4;2;0;2;8;7
Italy;3;1;0;2;2;2
Spain;3;1;0;2;4;5
Brazil;3;1;0;2;4;6
Bulgaria;3;0;0;3;1;8
Switzerland;3;0;0;3;1;9
England;6;5;1;0;11;3
West Germany;6;4;1;1;15;6
Argentina;4;2;1;1;4;2
North Korea;4;1;1;2;5;9
Chile;3;0;1;2;2;5
France;3;0;1;2;2;5
Uruguay;4;1;2;1;2;5
Mexico;3;0;2;1;1;3
