Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Croatia;7;4;2;1;8;7
USA;4;1;2;1;3;4
Morocco;7;4;1;2;6;5
England;5;3;1;1;13;4
Netherlands;5;3;1;1;10;4
Spain;4;1;1;2;9;3
Poland;4;1;1;2;3;5
South Korea;4;1;1;2;5;8
Germany;3;1;1;1;6;5
Ecuador;3;1;1;1;4;3
Cameroon;3;1;1;1;4;4
Uruguay;3;1;1;1;2;2
Tunisia;3;1;1;1;1;1
Mexico;3;1;1;1;2;3
Belgium;3;1;1;1;1;2
Denmark;3;0;1;2;1;3
Serbia;3;0;1;2;5;8
Wales;3;0;1;2;1;6
Argentina;7;6;0;1;15;8
France;7;5;0;2;16;8
Portugal;5;3;0;2;12;6
Brazil;5;3;0;2;8;3
Japan;4;2;0;2;5;4
Senegal;4;2;0;2;5;7
Australia;4;2;0;2;4;6
Switzerland;4;2;0;2;5;9
Ghana;3;1;0;2;5;7
Saudi Arabia;3;1;0;2;3;5
Iran;3;1;0;2;4;7
Costa Rica;3;1;0;2;3;11
Canada;3;0;0;3;2;7
Qatar;3;0;0;3;1;7
