Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Brazil;3;1;1;1;8;5
England;3;1;1;1;8;8
Yugoslavia;3;1;1;1;2;3
Belgium;2;0;1;1;5;8
West Germany;6;5;0;1;25;14
Hungary;5;4;0;1;27;10
Austria;5;4;0;1;17;12
Uruguay;5;3;0;2;16;9
Switzerland;4;2;0;2;11;11
Turkey;3;1;0;2;10;11
Italy;3;1;0;2;6;7
France;2;1;0;1;3;3
Mexico;2;0;0;2;2;8
Czechoslovakia;2;0;0;2;0;7
Scotland;2;0;0;2;0;8
South Korea;2;0;0;2;0;16
