Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Mexico;3;0;0;3;4;13
Argentina;5;4;0;1;18;9
Bolivia;2;0;0;2;0;8
Yugoslavia;3;2;0;1;7;7
United States;3;2;0;1;7;6
Romania;2;1;0;1;3;5
Peru;2;0;0;2;1;4
Belgium;2;0;0;2;0;4
Uruguay;4;4;0;0;15;3
Chile;3;2;0;1;5;3
France;3;1;0;2;4;3
Paraguay;2;1;0;1;1;3
Brazil;2;1;0;1;5;2
