Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Panama;3;0;0;3;2;11
Croatia;7;4;2;1;14;9
Argentina;4;1;1;2;6;9
England;7;3;1;3;12;8
Tunisia;3;1;0;2;5;8
Russia;5;2;2;1;11;7
Japan;4;1;1;2;6;7
Saudi Arabia;3;1;0;2;2;7
France;7;6;1;0;14;6
Belgium;7;6;0;1;16;6
Mexico;4;2;0;2;3;6
Spain;4;1;3;0;7;6
Portugal;4;1;2;1;6;6
Egypt;3;0;0;3;2;6
Switzerland;4;1;2;1;5;5
Poland;3;1;0;2;2;5
Australia;3;0;1;2;2;5
Costa Rica;3;0;1;2;2;5
Iceland;3;0;1;2;2;5
Sweden;5;3;0;2;6;4
Senegal;3;1;1;1;4;4
Germany;3;1;0;2;2;4
Nigeria;3;1;0;2;3;4
Serbia;3;1;0;2;2;4
Morocco;3;0;1;2;2;4
Uruguay;5;4;0;1;7;3
Brazil;5;3;1;1;8;3
Colombia;4;2;1;1;6;3
South Korea;3;1;0;2;3;3
Denmark;4;1;3;0;3;2
Iran;3;1;1;1;2;2
Peru;3;1;0;2;2;2
