Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
Italy;6;3;2;1;10;8
Israel*;3;0;2;1;1;3
Uruguay;6;2;1;3;4;5
Soviet Union;4;2;1;1;6;2
Mexico;4;2;1;1;6;4
Sweden;3;1;1;1;2;2
Bulgaria**;3;0;1;2;5;9
Morocco;3;0;1;2;2;6
Brazil;6;6;0;0;19;7
West Germany;6;5;0;1;17;10
Peru;4;2;0;2;9;9
England;4;2;0;2;4;4
Belgium;3;1;0;2;4;5
Romania;3;1;0;2;4;5
Czechoslovakia;3;0;0;3;2;7
El Salvador;3;0;0;3;0;9
