Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
West Germany;6;1;4;1;10;5
Brazil;7;4;3;0;10;3
Netherlands;7;3;2;2;15;10
Argentina;7;5;1;1;15;4
Italy;7;4;1;2;9;6
Poland;6;3;1;2;6;6
Peru;6;2;1;3;7;12
Tunisia;3;1;1;1;3;2
Spain;3;1;1;1;2;2
Scotland;3;1;1;1;5;6
Sweden;3;0;1;2;1;3
Iran;3;0;1;2;2;8
Austria;6;3;0;3;7;10
France;3;1;0;2;5;5
Hungary;3;0;0;3;3;8
Mexico;3;0;0;3;2;12
